Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
"1","Human Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"2","Systematic Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"3","Osteology","","","","F44336",1,"Ball","5","","","","No","","",""
"4","Syndesmology","","","","F44336",1,"Ball","5","","","","No","","",""
"5","Myology","","","","F44336",1,"Ball","5","","","","No","","",""
"6","Angiology","","","","F44336",1,"Ball","5","","","","No","","",""
"7","Neurology","","","","F44336",1,"Ball","5","","","","No","","",""
"8","Splanchnology","","","","F44336",1,"Ball","5","","","","No","","",""
"9","Thoracic Viscera","","","","F44336",1,"Ball","5","","","","No","","",""
"10","Abdom.-Pelvic Viscera","","","","F44336",1,"Ball","5","","","","No","","",""
"11","Respiratory Apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"12","Digestive Apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"13","Urogenital Apparatus","","","","F44336",1,"Ball","5","","","","No","","",""
"14","Comparative Embryology","","","","F44336",1,"Ball","5","","","","No","","",""
"15","Comparative Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"16","Applied Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"17","Surface Anatomy","","","","F44336",1,"Ball","5","","","","No","","",""
"18","","","","","171717",1,"Solid",1,"","","","","","1","2"
"19","","","","","171717",1,"Solid",1,"","","","","","2","3"
"20","","","","","171717",1,"Solid",1,"","","","","","2","4"
"21","","","","","171717",1,"Solid",1,"","","","","","2","5"
"22","","","","","171717",1,"Solid",1,"","","","","","2","6"
"23","","","","","171717",1,"Solid",1,"","","","","","2","7"
"24","","","","","171717",1,"Solid",1,"","","","","","2","8"
"25","","","","","171717",1,"Solid",1,"","","","","","8","9"
"26","","","","","171717",1,"Solid",1,"","","","","","8","10"
"27","","","","","171717",1,"Solid",1,"","","","","","10","11"
"28","","","","","171717",1,"Solid",1,"","","","","","10","12"
"29","","","","","171717",1,"Solid",1,"","","","","","10","13"
"30","","","","","171717",1,"Solid",1,"","","","","","1","14"
"31","","","","","171717",1,"Solid",1,"","","","","","1","15"
"32","","","","","171717",1,"Solid",1,"","","","","","1","16"
"33","","","","","171717",1,"Solid",1,"","","","","","1","17"
