Uuid,Title,Notes,ImageURL,PageURL,Color,Opacity,Shape,Size,PositionX,PositionY,PositionZ,Collapsed,Type,FromUuid,ToUuid
1,"Human Anatomy","","","","E91E63",1,"Box","15","","","","No","","",""
2,"Systematic Anatomy","","","","FFEB3B",1,"Ball","9.5","","","","No","","",""
3,"Osteology","","","","4CAF50",1,"Ball","7.5","","","","No","","",""
4,"Syndesmology","","","","4CAF50",1,"Ball","7.5","","","","No","","",""
5,"Myology","","","","4CAF50",1,"Ball","7.5","","","","No","","",""
6,"Angiology","","","","4CAF50",1,"Ball","7.5","","","","No","","",""
7,"Neurology","","","","4CAF50",1,"Ball","7.5","","","","No","","",""
8,"Splanchnology","","","","4CAF50",1,"Ball","7.5","","","","No","","",""
9,"Histology","","","","FFEB3B",1,"Ball","9.5","","","","No","","",""
10,"Embryology","","","","FFEB3B",1,"Ball","9.5","","","","No","","",""
11,"Comp. Embryology","","","","4CAF50",1,"Ball","7.5","","","","No","","",""
12,"Comp. Anatomy","","","","4CAF50",1,"Ball","7.5","","","","No","","",""
13,"Applied Anatomy","","","","FFEB3B",1,"Ball","9.5","","","","No","","",""
14,"Surface Anatomy","","","","FFEB3B",1,"Ball","9.5","","","","No","","",""
15,"Thoracic Viscera","","","","00BCD4",1,"Ball","6.5","","","","No","","",""
16,"Abdomino-Pelvic Viscera","","","","00BCD4",1,"Ball","6.5","","","","No","","",""
17,"Respiratory Apparatus","","","","00BCD4",1,"Ball","6.5","","","","No","","",""
18,"Digestive Apparatus","","","","00BCD4",1,"Ball","6.5","","","","No","","",""
19,"Urogenital Apparatus","","","","00BCD4",1,"Ball","6.5","","","","No","","",""
20,"Organs of Sense","","","","00BCD4",1,"Ball","6.5","","","","No","","",""
21,"Testes","","","","F44336",1,"Ball","5","","","","No","","",""
22,"External Organs","","","","F44336",1,"Ball","5","","","","No","","",""
"23","","","","","171717",1,"Solid",1,"","","","","","null",1
"24","","","","","171717",1,"Solid",1,"","","","","",1,2
"25","","","","","171717",1,"Solid",1,"","","","","",2,3
"26","","","","","171717",1,"Solid",1,"","","","","",2,4
"27","","","","","171717",1,"Solid",1,"","","","","",2,5
"28","","","","","171717",1,"Solid",1,"","","","","",2,6
"29","","","","","171717",1,"Solid",1,"","","","","",2,7
"30","","","","","171717",1,"Solid",1,"","","","","",2,8
"31","","","","","171717",1,"Solid",1,"","","","","",1,9
"32","","","","","171717",1,"Solid",1,"","","","","",1,10
"33","","","","","171717",1,"Solid",1,"","","","","",10,11
"34","","","","","171717",1,"Solid",1,"","","","","",10,12
"35","","","","","171717",1,"Solid",1,"","","","","",1,13
"36","","","","","171717",1,"Solid",1,"","","","","",1,14
"37","","","","","171717",1,"Solid",1,"","","","","",8,15
"38","","","","","171717",1,"Solid",1,"","","","","",8,16
"39","","","","","171717",1,"Solid",1,"","","","","",8,17
"40","","","","","171717",1,"Solid",1,"","","","","",8,18
"41","","","","","171717",1,"Solid",1,"","","","","",8,19
"42","","","","","171717",1,"Solid",1,"","","","","",7,20
"43","","","","","171717",1,"Solid",1,"","","","","",19,21
"44","","","","","171717",1,"Solid",1,"","","","","",19,22
